Las parejas entrenador cliente son:
     Entrenador: 63 y Cliente: 29
     Entrenador: 72 y Cliente: 47
     Entrenador: 69 y Cliente: 9
     Entrenador: 77 y Cliente: 70
     Entrenador: 31 y Cliente: 77
     Entrenador: 87 y Cliente: 55
     Entrenador: 58 y Cliente: 14
     Entrenador: 97 y Cliente: 69
     Entrenador: 70 y Cliente: 66
     Entrenador: 37 y Cliente: 49
     Entrenador: 54 y Cliente: 91
     Entrenador: 91 y Cliente: 7
     Entrenador: 23 y Cliente: 52
     Entrenador: 65 y Cliente: 82
     Entrenador: 41 y Cliente: 40
     Entrenador: 25 y Cliente: 35
     Entrenador: 38 y Cliente: 51
     Entrenador: 33 y Cliente: 8
     Entrenador: 79 y Cliente: 12
     Entrenador: 26 y Cliente: 86
     Entrenador: 16 y Cliente: 27
     Entrenador: 45 y Cliente: 62
     Entrenador: 2 y Cliente: 34
     Entrenador: 81 y Cliente: 88
     Entrenador: 82 y Cliente: 65
     Entrenador: 18 y Cliente: 72
     Entrenador: 66 y Cliente: 26
     Entrenador: 94 y Cliente: 30
     Entrenador: 24 y Cliente: 44
     Entrenador: 90 y Cliente: 76
     Entrenador: 52 y Cliente: 58
     Entrenador: 62 y Cliente: 31
     Entrenador: 6 y Cliente: 59
     Entrenador: 96 y Cliente: 36
     Entrenador: 53 y Cliente: 98
     Entrenador: 14 y Cliente: 25
     Entrenador: 9 y Cliente: 33
     Entrenador: 32 y Cliente: 96
     Entrenador: 92 y Cliente: 64
     Entrenador: 10 y Cliente: 84
     Entrenador: 95 y Cliente: 87
     Entrenador: 60 y Cliente: 90
     Entrenador: 74 y Cliente: 16
     Entrenador: 30 y Cliente: 5
     Entrenador: 46 y Cliente: 10
     Entrenador: 17 y Cliente: 97
     Entrenador: 22 y Cliente: 57
     Entrenador: 78 y Cliente: 32
     Entrenador: 76 y Cliente: 28
     Entrenador: 98 y Cliente: 2
     Entrenador: 28 y Cliente: 67
     Entrenador: 88 y Cliente: 50
     Entrenador: 7 y Cliente: 24
     Entrenador: 5 y Cliente: 74
     Entrenador: 19 y Cliente: 37
     Entrenador: 12 y Cliente: 4
     Entrenador: 11 y Cliente: 99
     Entrenador: 83 y Cliente: 53
     Entrenador: 44 y Cliente: 79
     Entrenador: 67 y Cliente: 17
     Entrenador: 42 y Cliente: 1
     Entrenador: 8 y Cliente: 39
     Entrenador: 86 y Cliente: 22
     Entrenador: 0 y Cliente: 18
     Entrenador: 99 y Cliente: 6
     Entrenador: 49 y Cliente: 80
     Entrenador: 73 y Cliente: 0
     Entrenador: 39 y Cliente: 46
     Entrenador: 13 y Cliente: 63
     Entrenador: 51 y Cliente: 38
     Entrenador: 80 y Cliente: 21
     Entrenador: 68 y Cliente: 43
     Entrenador: 40 y Cliente: 92
     Entrenador: 89 y Cliente: 23
     Entrenador: 43 y Cliente: 20
     Entrenador: 15 y Cliente: 19
     Entrenador: 93 y Cliente: 45
     Entrenador: 59 y Cliente: 11
     Entrenador: 71 y Cliente: 3
     Entrenador: 21 y Cliente: 13
     Entrenador: 3 y Cliente: 73
     Entrenador: 1 y Cliente: 89
     Entrenador: 75 y Cliente: 48
     Entrenador: 27 y Cliente: 54
     Entrenador: 50 y Cliente: 71
     Entrenador: 20 y Cliente: 78
     Entrenador: 35 y Cliente: 15
     Entrenador: 64 y Cliente: 56
     Entrenador: 84 y Cliente: 60
     Entrenador: 61 y Cliente: 83
     Entrenador: 47 y Cliente: 95
     Entrenador: 4 y Cliente: 81
     Entrenador: 48 y Cliente: 61
     Entrenador: 55 y Cliente: 42
     Entrenador: 57 y Cliente: 75
     Entrenador: 29 y Cliente: 68
     Entrenador: 56 y Cliente: 94
     Entrenador: 85 y Cliente: 85
     Entrenador: 36 y Cliente: 93
     Entrenador: 34 y Cliente: 41
La suma total es: 32.6871
